criterion,max_depth,min_samples_split,min_samples_leaf,mean_test_score
entropy,1,5,5,0.6666666666666666
entropy,9,5,7,0.9466666666666668
gini,2,2,4,0.9533333333333334
gini,10,9,1,0.9533333333333334
entropy,1,9,4,0.6666666666666666
entropy,8,7,9,0.9466666666666668
entropy,10,2,8,0.9533333333333334
gini,1,7,8,0.6666666666666666
gini,9,9,7,0.9533333333333334
entropy,5,7,2,0.94
entropy,8,8,9,0.9466666666666668
gini,7,5,4,0.9533333333333334
entropy,7,8,6,0.9533333333333334
entropy,7,4,1,0.9533333333333334
gini,1,8,8,0.6666666666666666
gini,3,2,6,0.9533333333333334
entropy,9,2,10,0.9466666666666668
entropy,9,7,6,0.9533333333333334
entropy,6,5,10,0.9533333333333334
gini,6,2,9,0.9533333333333334
entropy,5,2,10,0.9466666666666668
gini,2,7,2,0.9533333333333334
gini,8,6,10,0.9533333333333334
gini,10,7,2,0.94
gini,10,8,4,0.9533333333333334
entropy,10,7,8,0.9533333333333334
entropy,8,9,10,0.9466666666666668
entropy,7,8,3,0.9533333333333334
entropy,2,2,9,0.9533333333333334
gini,2,2,6,0.9533333333333334
gini,6,6,4,0.9533333333333334
gini,3,2,2,0.94
gini,2,2,10,0.9466666666666668
gini,5,10,2,0.94
gini,10,2,4,0.9533333333333334
gini,2,5,7,0.9533333333333334
entropy,9,9,8,0.9466666666666668
entropy,3,7,1,0.9533333333333334
entropy,10,3,6,0.9533333333333334
entropy,7,4,10,0.9533333333333334
entropy,7,5,3,0.9533333333333334
entropy,8,3,7,0.9466666666666668
entropy,5,2,2,0.94
entropy,1,8,2,0.6666666666666666
entropy,1,10,10,0.6666666666666666
entropy,7,2,4,0.9533333333333334
gini,6,8,5,0.9533333333333334
gini,3,9,10,0.9533333333333334
gini,1,7,4,0.6666666666666666
entropy,7,6,3,0.9533333333333334
gini,10,4,7,0.9466666666666668
entropy,6,3,3,0.9533333333333334
gini,2,8,10,0.9466666666666668
entropy,7,5,1,0.9533333333333334
entropy,8,10,4,0.9533333333333334
entropy,8,3,4,0.9533333333333334
entropy,6,7,4,0.9533333333333334
entropy,8,7,8,0.9466666666666668
entropy,3,2,8,0.9533333333333334
entropy,5,10,3,0.9533333333333334
entropy,8,8,1,0.9533333333333334
entropy,4,4,7,0.9466666666666668
gini,1,6,2,0.6666666666666666
entropy,10,6,5,0.9533333333333334
entropy,2,7,3,0.9533333333333334
entropy,3,3,7,0.9533333333333334
entropy,6,10,10,0.9533333333333334
gini,6,8,1,0.9533333333333334
gini,10,6,10,0.9533333333333334
entropy,7,10,8,0.9466666666666668
entropy,7,5,5,0.9533333333333334
entropy,5,6,8,0.9533333333333334
gini,9,6,2,0.94
entropy,10,4,7,0.9533333333333334
gini,10,6,5,0.9533333333333334
entropy,6,9,7,0.9466666666666668
gini,5,7,7,0.9533333333333334
entropy,4,8,7,0.9466666666666668
gini,6,4,9,0.9466666666666668
entropy,3,4,8,0.9466666666666668
entropy,4,5,8,0.9533333333333334
entropy,10,8,9,0.9533333333333334
entropy,4,5,6,0.9533333333333334
entropy,6,5,5,0.9533333333333334
entropy,9,3,8,0.9466666666666668
entropy,8,10,3,0.9533333333333334
entropy,9,6,6,0.9533333333333334
gini,5,8,9,0.9533333333333334
entropy,10,4,8,0.9466666666666668
gini,9,6,7,0.9466666666666668
